Date	Time	NestID	BaitID	ColorInd	Observer	Distance	DirectionToNest	Flightdirection	FlightError	Flighttime	Flighttime_min	Cloudcoverage	Rain	Windspeed	Winddirection	Temperature	Winddifference	Wind		
1/09/2022	11:59	1	20	Orange	A	2042	5.1	0	5.1	0:09:43	9.717	0.00	0	4	50	23.0	50	perpendicular		
2/09/2022	13:57	1	21	Red	A	2046	5.1	0	5.1	0:08:46	8.767	0.00	0	4	120	26.0	120	perpendicular		
31/08/2022	14:47	3	2	Pink	A	150	200	180	20	0:01:31	1.517	0.00	0	2.3	80	24.0	100	perpendicular		
31/08/2022	11:35	4	1	Blue	A	272	22	20	2	0:02:10	2.167	0.80	0	2.3	40	20.0	20	tailwind		
10/07/2022		10	2	Green	P	301	64.9	40	24.9	0:02:30	2.500		0	3	0	24.0	40	tailwind		
20/07/2022		10	1	Blue	P	332	83.9			0:02:28	2.467		0	3	270	32.0	90	perpendicular		
7/09/2022	18:00	11	1	White	D	746	135.5	135	0.5	0:05:30	5.500		0	3	210	23.0	75	perpendicular		
6/09/2022		12	1	Blue	F	134	238	240	2	0:01:10	1.167	0.00	0	3	270	27.0	30	tailwind		
25/08/2022	17:57	13	1	White	G	652	169	155	14	0:05:00	5.000		0	2	270	27.0	115	perpendicular		
27/08/2022	19:30	13	2	Red	G	415	307.1	310	2.9	0:03:00	3.000		0	3	0	21.0	50	perpendicular		
30/08/2022	21:02	13	3	Blue	G	401	65.7	80	14.3	0:03:00	3.000		0	2.5	20	19.0	60	perpendicular		
29/07/2022	14:00	14	1	Red/Yellow/Red	H	157	173	112	61	0:03:00	3.000		0	2	0	27.0	112	perpendicular		
29/07/2022	14:00	14	1	Blue	H	157	173	161	12	0:04:00	4.000		0	2	0	27.0	161	upwind		
30/07/2022	14:00	14	2	Yellow	H	270	10	25	15	0:02:12	2.200		0	2	300	28.0	85	perpendicular		
29/07/2022	14:00	14	3	Red/White	H	232	268	260	8	0:02:24	2.400		0	2	0	27.0	100	perpendicular		
30/07/2022	14:00	14	3	Yellow/White	H	232	268	260	8	0:02:09	2.150		0	2	300	28.0	40	tailwind		
29/07/2022	14:00	14	4	White/Red	H	413	219.9	181	38.9	0:02:00	2.000		0	2	0	27.0	179	upwind		
14/08/2022	16:40	15	1	White/Red	G	313	241.1	260	18.9	0:02:48	2.800		0	2	100	32.0	160	upwind		
8/09/2022	14:09	16	7	Blue	A	70	277			0:00:55	0.917	0.90	0	4.5	220	19.1	140	upwind		
1/09/2022	12:35	16	8	Yellow	B	92	217	180	37	0:02:10	2.167	0.00	0	4	50	23.0	130	perpendicular		
2/09/2022	10:48	16	10	Yellow	B	181	223	200	23	0:01:49	1.817	0.00	0	4	120	25.0	80	perpendicular		
15/09/2022	16:28	16	11	Unmarked	B	84	242	240	2	0:01:02	1.033	1.00	0	2		16.0				
20/09/2022	18:32	16	11	Blue	A	84	242	240	2	0:01:16	1.267	0.80	0	1	45	16.1	165	upwind		
22/09/2022	14:43	16	6	Blue	A	139	252	280	28	0:02:15	2.250	0.10	0	1.5	230	17.4	50	perpendicular		
28/08/2022	16:00	17	1	White	I	415	119.4	75	44.4	0:03:00	3.000									
31/08/2022	14:00	17	2	Red	I	187	130	116	14	0:01:30	1.500		0							
11/09/2022	15:42	18	1	Green	L	706	240.8	230	10.8	0:03:40	3.667	0.00	0	1.5	300	23.0	70	perpendicular		
		18	2	Orange	L	331	251.6			0:02:30	2.500									
		18	4	Yellow	L	110	102	110	8	0:01:25	1.417									
19/09/2022		19	13	Blue	A	340	83.8	140	56.2	0:02:00	2.000	0.80	0	1	45	17.2	95	perpendicular		
19/09/2022	15:55	19	13	Blue	A	340	83.8	140	56.2	0:02:00	2.000									
7/10/2022	18:36	19	13	Pink	A	340	83.8	70	13.8	0:02:50	2.833	0.90	0	0		17.0				
30/08/2022	14:00	20	1	A	M	188	313	320	7	0:02:00	2.000									
2/09/2022	14:00	20	2	B	M	494	165.8	172	6.2	0:07:00	7.000									
21/09/2022	13:15	21	Mais	Blue/Red	A	583	123.3	135	11.7	0:04:08	4.133	0.75	0	1.6	180	23.0	45	tailwind		
21/09/2022	18:03	21	Koeien	Yellow/Pink	A	469	65.8	50	15.8	0:03:20	3.333	0.30	0	1.5	110	20.0	60	perpendicular		
23/09/2022		21	Miserie	Green/White	C	435	118.4	90	28.4	0:04:00	4.000					12.0				
6/10/2022	14:23	21	Allure	Yellow	A	196	104	100	4	0:01:50	1.833	0.00	0	1.5	180	21.0	80	perpendicular		
23/09/2022		21	Kruisstraat1	Blue	C	181	229	220	9	0:02:00	2.000					15.0	140	upwind		
29/09/2022	11:55	21	Paradijskouter1	Red/Red	C	118	3	10	7	0:01:45	1.750									
30/09/2022	15:30	21	Grasmaaier	Green	C	19	77	170	93	0:07:05	7.083									
5/10/2022	16:17	21	Paradijskouter2	Yellow	A	109	4	355	9	0:02:29	2.483	1.00	0	2.5	180	20.0	175	upwind		
20/09/2022	18:40	22	11	Yellow	A	687	63	60	3	0:08:05	8.083	0.80	0	1	45	15.9	15	tailwind		
12/09/2022	14:00	23	1	Red	O	957	63.6	60	3.6	0:05:45	5.750	0.25	0	1		25.0				
15/09/2022	14:12	23	2	Green	Q	526	84.2	90	5.8	0:04:09	4.150	0.75	0	3		15.0				
15/09/2022	14:35	23	3	Green	Q	214	78	90	12	0:01:42	1.700	0.75	0	3		15.0				
6/10/2022		24	1	Blue	S	889	49.9	45	4.9	0:09:00	9.000									
1/10/2022	12:11	26	1	Blue	T	548	203.3	200	3.3	0:05:00	5.000		0							
22/09/2022	18:30	27	1	Green	U	674	280.5	335	54.5	0:08:30	8.500									
20/10/2022	18:20	28	Asterdreef	Blue	A	359	72.5	80	7.5	0:03:08	3.133	1.00	0	0		18.0				
7/10/2022		29	1	A	J	619	88.2	76	12.2	0:02:00	2.000									
10/16/2022		30	1	R	J	197	35	62	27	0:03:00	3.000									
10/15/2022		30	2	S	J	404	293.1	281	12.1	0:04:00	4.000									
10/10/2022		30	3	T	J	503	295.6	288	7.6	0:08:00	8.000									
10/09/2022		30	4	U	J	493	261.2	238	23.2	0:04:00	4.000									
10/08/2022		30	5	V	J	939	227.1	201	26.1	0:07:00	7.000									
10/08/2022		30	6	W	J	891	297.2	327	29.8	0:07:00	7.000									
10/09/2022		30	7	X	J	504	295.8	316	20.2	0:07:00	7.000									
18/09/2022	15:00	31	Koeien	Yellow-Green	C	1058	114.2	120	5.8	0:06:50	6.833									
30/09/2022	14:15	31	Paradijskouter1	Red-Blue	C	846	151.8	135	16.8	0:06:00	6.000									
19/10/2022	17:45	32	SintJobsstraat	Blue	V	448	48.4	35	13.4	0:03:40	3.667									
21/10/2022	13:30	32	Hondenweide	Pink	V	241	73	46	27	0:04:00	4.000									
9/11/2022	15:34	33	Hof Ter Mere	Pink	A	78	113	130	17	0:01:17	1.283	0.25	0	3	180	13.0	50	perpendicular		
23/10/2022		34	1	A	W	980	252.8	277	24.2	0:08:00	8.000									
22/10/2022		34	2	B	W	700	336	350	14	0:07:00	7.000									
22/10/2022		34	2	C	W	700	336	334	2	0:10:00	10.000									
24/10/2022		35	2	A	W	562	171.1	167	4.1	0:05:00	5.000									
28/07/2022	10:20	36	1	Yellow	X	439	163	170	7	0:04:30	4.500									
10/19/2022	14:18	37	1	Red	Y	691	171.6	160	11.6	0:06:20	6.333					20.0				
10/20/2022	14:28	37	2	Green	Y	412	178.5	150	28.5	0:04:00	4.000									
11/11/2022	14:48	38	Azaleapark	Blue	A	130	293	293	0	0:01:20	1.333	0.80	0	1	210	13.0	83	perpendicular		
18/11/2022	12:02	38	Apotheek	Blue	A	53	3	10	7	0:02:07	2.117	1.00	1	2	210	9.0	160	upwind		
17/11/2022	16:44	39	Apotheek	Red	A	33	23	20	3	0:01:42	1.700	0.30	0	2.5	210	10.0	170	upwind		
1/11/2022	16:30	40	Goorstraat	White	E	164	25	70	45	0:02:30	2.500									
7/11/2022	14:40	40	Venstraat_tuin	Blue	K	82	240	200	40	0:03:04	3.067									
17/10/2022	14:00	41	Apotheek	Blue	J	869	13.3	3	10.3	0:06:00	6.000									
17/10/2022	14:00	41	Werchtersebaan	Blue	J	1269	202	212	10	0:09:00	9.000									
																				
																				
																				
