ID	Date	Time	NestID	BaitID	ColorInd	Observer	Distance	DirectionToNest	Flightdirection	FlightError	Flighttime	Flighttime_min	Cloudcoverage	Rain	Windspeed	Winddirection	Temperature	Winddifference_flightdirection	Wind_flight	Winddifference_nestdirection	Wind_nest
1	1/09/2022	11:59	1	20	Orange	A	2042	5.1	0	5.1	0:09:43	9.717	0.00	0	4	50	23.0	50	perpendicular	44.9	tailwind
2	1/09/2022	12:21	1	20	Orange	A	2042	5.1	0	5.1	0:12:32	12.533	0.00	0	4	50	23.0	50	perpendicular	44.9	tailwind
3	1/09/2022	12:42	1	20	Orange	A	2042	5.1	0	5.1	0:11:47	11.783	0.00	0	4	50	23.0	50	perpendicular	44.9	tailwind
4	1/09/2022	13:52	1	20	Orange	A	2042	5.1	0	5.1	0:11:43	11.717	0.00	0	4	50	23.0	50	perpendicular	44.9	tailwind
5	1/09/2022	14:13	1	20	Blue	A	2042	5.1	0	5.1	0:19:06	19.100	0.00	0	4	50	24.0	50	perpendicular	44.9	tailwind
6	1/09/2022	14:35	1	20	Blue	A	2042	5.1	0	5.1	0:15:46	15.767	0.00	0	4	50	24.0	50	perpendicular	44.9	tailwind
7	1/09/2022	14:35	1	20	Orange	A	2042	5.1	0	5.1	0:10:39	10.650	0.00	0	4	50	24.0	50	perpendicular	44.9	tailwind
8	1/09/2022	14:54	1	20	Blue	A	2042	5.1	0	5.1	0:17:22	17.367	0.00	0	4	50	25.0	50	perpendicular	44.9	tailwind
9	1/09/2022	14:53	1	20	Orange	A	2042	5.1	0	5.1	0:10:00	10.000	0.00	0	4	50	25.0	50	perpendicular	44.9	tailwind
10	2/09/2022	12:23	1	21	Pink	A	2046	5.1	340	25.1	0:11:24	11.400	0.00	0	4	120	25.0	140	upwind	114.9	perpendicular
11	2/09/2022	12:19	1	21	Unmarked	A	2046	5.1	0	5.1			0.00	0	4	120	25.0	120	perpendicular	114.9	perpendicular
12	2/09/2022	12:38	1	21	Pink	A	2046	5.1	340	25.1	0:11:03	11.050	0.00	0	4	120	25.0	140	upwind	114.9	perpendicular
13	2/09/2022	12:32	1	21	Unmarked	A	2046	5.1	0	5.1			0.00	0	4	120	25.0	120	perpendicular	114.9	perpendicular
14	2/09/2022	12:53	1	21	Pink	A	2046	5.1	0	5.1	0:11:50	11.833	0.00	0	4	120	25.0	120	perpendicular	114.9	perpendicular
15	2/09/2022	12:59	1	21	Unmarked	A	2046	5.1	340	25.1			0.00	0	4	120	25.0	140	upwind	114.9	perpendicular
16	2/09/2022	13:01	1	21	Green	A	2046	5.1	40	34.9	0:07:00	7.000	0.00	0	4	120	26.0	80	perpendicular	114.9	perpendicular
17	2/09/2022	13:11	1	21	Pink	A	2046	5.1	0	5.1	0:10:37	10.617	0.00	0	4	120	26.0	120	perpendicular	114.9	perpendicular
18	2/09/2022	13:22	1	21	Green	A	2046	5.1	70	64.9	0:10:06	10.100	0.00	0	4	120	26.0	50	perpendicular	114.9	perpendicular
19	2/09/2022	13:33	1	21	Red	A	2046	5.1	0	5.1	0:10:01	10.017	0.00	0	4	120	26.0	120	perpendicular	114.9	perpendicular
20	2/09/2022	13:40	1	21	Green	A	2046	5.1	70	64.9	0:09:47	9.783	0.00	0	4	120	26.0	50	perpendicular	114.9	perpendicular
21	2/09/2022	13:46	1	21	Unmarked	A	2046	5.1	320	45.1			0.00	0	4	120	26.0	160	upwind	114.9	perpendicular
22	2/09/2022	13:57	1	21	Red	A	2046	5.1	0	5.1	0:08:46	8.767	0.00	0	4	120	26.0	120	perpendicular	114.9	perpendicular
23	2/09/2022	14:10	1	21	Green	A	2046	5.1	60	54.9			0.00	0	4	120	27.0	60	perpendicular	114.9	perpendicular
24	31/08/2022	13:25	3	2	Pink	A	150	200	180	20	0:02:18	2.300	0.00	0	2.3	80	23.0	100	perpendicular	120	perpendicular
25	31/08/2022	13:31	3	2	Green	A	150	200	200	0	0:01:38	1.633	0.00	0	2.3	80	23.0	120	perpendicular	120	perpendicular
26	31/08/2022	13:36	3	2	Pink	A	150	200	200	0	0:01:33	1.550	0.00	0	2.3	80	23.0	120	perpendicular	120	perpendicular
27	31/08/2022	13:58	3	2	Green	A	150	200	220	20	0:01:54	1.900	0.00	0	2.3	80	23.0	140	upwind	120	perpendicular
28	31/08/2022	14:01	3	2	Pink	A	150	200	180	20	0:02:41	2.683	0.00	0	2.3	80	23.0	100	perpendicular	120	perpendicular
29	31/08/2022	14:10	3	2	Pink	A	150	200	180	20	0:03:10	3.167	0.00	0	2.3	80	23.0	100	perpendicular	120	perpendicular
30	31/08/2022	14:18	3	2	Pink	A	150	200	180	20	0:02:30	2.500	0.00	0	2.3	80	24.0	100	perpendicular	120	perpendicular
31	31/08/2022	14:18	3	2	Green	A	150	200	220	20	0:03:03	3.050	0.00	0	2.3	80	24.0	140	upwind	120	perpendicular
32	31/08/2022	14:29	3	2	Pink	A	150	200	180	20	0:02:04	2.067	0.00	0	2.3	80	24.0	100	perpendicular	120	perpendicular
33	31/08/2022	14:47	3	2	Pink	A	150	200	180	20	0:01:31	1.517	0.00	0	2.3	80	24.0	100	perpendicular	120	perpendicular
34	31/08/2022	11:19	4	1	Blue	A	272	22	40	18	0:04:20	4.333	0.80	0	2.3	60	20.0	20	tailwind	38	tailwind
35	31/08/2022	11:23	4	1	Blue	A	272	22	40	18	0:02:50	2.833	0.80	0	2.3	40	20.0	0	tailwind	18	tailwind
36	31/08/2022	11:30	4	1	Blue	A	272	22	20	2	0:02:17	2.283	0.80	0	2.3	40	20.0	20	tailwind	18	tailwind
37	31/08/2022	11:35	4	1	Blue	A	272	22	20	2	0:02:10	2.167	0.80	0	2.3	40	20.0	20	tailwind	18	tailwind
38	31/08/2022	11:49	4	1	Blue	A	272	22	20	2	0:02:36	2.600	0.80	0	2.3	40	21.0	20	tailwind	18	tailwind
39	31/08/2022	11:56	4	1	Blue	A	272	22	20	2	0:02:40	2.667	0.80	0	2.3	40	21.0	20	tailwind	18	tailwind
40	31/08/2022	12:01	4	1	Blue	A	272	22	20	2	0:02:36	2.600	0.80	0	2.3	40	21.0	20	tailwind	18	tailwind
41	7/09/2022	8:45	6	1	Zender	A	730	321.5	280	41.5	0:10:10	10.167	0.10	0	2	180	16.0	100	perpendicular	141.5	upwind
42	9/07/2022		10	2	Green	P	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0	50	perpendicular	64.9	perpendicular
43	9/07/2022		10	2	Green	P	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0	50	perpendicular	64.9	perpendicular
44	9/07/2022		10	2	Green	P	301	64.9	50	14.9	0:02:40	2.667		0	3	0	24.0	50	perpendicular	64.9	perpendicular
45	10/07/2022		10	2	Green	P	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0	50	perpendicular	64.9	perpendicular
46	10/07/2022		10	2	Green	P	301	64.9	40	24.9	0:02:30	2.500		0	3	0	24.0	40	tailwind	64.9	perpendicular
47	13/07/2022		10	2	Green	P	301	64.9	50	14.9	0:03:00	3.000		0	1	270	30.0	140	upwind	154.9	upwind
48	13/07/2022		10	2	Green	P	301	64.9	50	14.9	0:03:00	3.000		0	1	270	30.0	140	upwind	154.9	upwind
49	20/07/2022		10	1	Blue	P	332	83.9			0:02:28	2.467		0	3	270	32.0	90	perpendicular	173.9	upwind
50			10	3	Unmarked	P	203	65	20	45							32.0				
51			10	4	Unmarked	P	274	27	20	7											
52			10	5	Unmarked	P	196	12	20	8											
53			10	6	Unmarked	P	184	4	20	16											
54			10	7	Unmarked	P	141	13	20	7											
55			10	8	Unmarked	P	54	338	350	12											
56	7/09/2022	18:00	11	1	White	D	746	135.5	135	0.5	0:05:30	5.500		0	3	210	23.0	75	perpendicular	74.5	perpendicular
57	6/09/2022		12	1	Blue	F	134	238	240	2	0:01:10	1.167	0.00	0	3	270	27.0	30	tailwind	32	tailwind
58	25/08/2022	17:57	13	1	White	G	652	169	155	14	0:05:00	5.000		0	2	270	27.0	115	perpendicular	101	perpendicular
59	27/08/2022	19:30	13	2	Red	G	415	307.1	310	2.9	0:03:00	3.000		0	3	0	21.0	50	perpendicular	52.9	perpendicular
60	30/08/2022	21:02	13	3	Blue	G	401	65.7	80	14.3	0:03:00	3.000		0	2.5	20	19.0	60	perpendicular	45.7	perpendicular
61	29/07/2022	14:00	14	1	Red/Yellow/Red	H	157	173	112	61	0:03:00	3.000		0	2	0	27.0	112	perpendicular	173	upwind
62	29/07/2022	14:00	14	1	Blue	H	157	173	161	12	0:04:00	4.000		0	2	0	27.0	161	upwind	173	upwind
63	30/07/2022	14:00	14	2	Yellow	H	270	10	25	15	0:02:12	2.200		0	2	300	28.0	85	perpendicular	70	perpendicular
64	29/07/2022	14:00	14	3	Red/White	H	232	268	260	8	0:02:24	2.400		0	2	0	27.0	100	perpendicular	92	perpendicular
65	30/07/2022	14:00	14	3	Yellow/White	H	232	268	260	8	0:02:09	2.150		0	2	300	28.0	40	tailwind	32	tailwind
66	29/07/2022	14:00	14	4	White/Red	H	413	219.9	181	38.9	0:02:00	2.000		0	2	0	27.0	179	upwind	140.1	upwind
67	29/07/2022	14:00	14	4	White/Red	H	413	219.9	181	38.9	0:02:09	2.150		0	2	0	27.0	179	upwind	140.1	upwind
68	14/08/2022	16:40	15	1	Green	G	313	241.1	260	18.9	0:02:48	2.800		0	2	100	32.0	160	upwind	141.1	upwind
69	8/09/2022	13:59	16	7	Blue	A	70	277	20	103	0:01:49	1.817	0.90	0	4.5	220	19.1	160	upwind	57	perpendicular
70	8/09/2022	14:01	16	7	Unmarked	A	70	277	20	103			0.90	0	4.5	220	19.1	160	upwind	57	perpendicular
71	8/09/2022	14:04	16	7	Blue	A	70	277	340	63	0:01:07	1.117	0.90	0	4.5	220	19.1	120	perpendicular	57	perpendicular
72	8/09/2022	14:07	16	7	Blue	A	70	277	320	43	0:02:06	2.100	0.90	0	4.5	220	19.1	100	perpendicular	57	perpendicular
73	8/09/2022	14:09	16	7	Blue	A	70	277			0:00:55	0.917	0.90	0	4.5	220	19.1	140	upwind	57	perpendicular
74	8/09/2022	14:11	16	7	Blue	A	70	277	300	23	0:01:05	1.083	0.90	0	4.5	220	19.1	80	perpendicular	57	perpendicular
75	8/09/2022	14:15	16	7	Blue	A	70	277	300	23	0:01:08	1.133	0.90	0	4.5	220	19.1	80	perpendicular	57	perpendicular
76	1/09/2022	12:30	16	8	Yellow	B	92	217	180	37	0:02:11	2.183	0.00	0	4	50	23.0	130	perpendicular	167	upwind
77	1/09/2022	12:35	16	8	Yellow	B	92	217	180	37	0:02:10	2.167	0.00	0	4	50	23.0	130	perpendicular	167	upwind
78	1/09/2022	12:43	16	8	Yellow	B	92	217	180	37	0:04:03	4.050	0.00	0	4	50	23.0	130	perpendicular	167	upwind
79	2/09/2022	10:48	16	10	Yellow	B	181	223	200	23	0:01:49	1.817	0.00	0	4	120	25.0	80	perpendicular	103	perpendicular
80	2/09/2022	10:59	16	10	Yellow	B	181	223	200	23	0:01:57	1.950	0.00	0	4	120	25.0	80	perpendicular	103	perpendicular
81	2/09/2022	11:06	16	10	Yellow	B	181	223	200	23	0:03:30	3.500	0.00	0	4	120	25.0	80	perpendicular	103	perpendicular
82	6/09/2022	10:24	16	10	Yellow	B	181	223	200	23	0:04:16	4.267		0	3	200	23.0	0	tailwind	23	tailwind
83	6/09/2022	10:54	16	10	Yellow	B	181	223	200	23	0:02:15	2.250		0	3	200	23.0	0	tailwind	23	tailwind
84	15/09/2022	16:25	16	11	Unmarked	B	84	242	240	2	0:01:41	1.683	1.00	0	2		16.0				
85	15/09/2022	16:28	16	11	Unmarked	B	84	242	240	2	0:01:02	1.033	1.00	0	2		16.0				
86	15/09/2022	16:30	16	11	Unmarked	B	84	242	240	2	0:01:36	1.600	1.00	0	2		16.0				
87			16	2	Unmarked	A	83	24	60	36											
88	20/09/2022	17:35	16	11	Blue	A	84	242	240	2	0:01:30	1.500	0.80	0	1	45	17.2	165	upwind	163	upwind
89	20/09/2022	17:47	16	11	Orange	A	84	242	240	2			0.80	0	1	45	17.2	165	upwind	163	upwind
90	20/09/2022	18:03	16	11	Blue	A	84	242	240	2	0:01:18	1.300	0.80	0	1	45	17.0	165	upwind	163	upwind
91	20/09/2022	18:08	16	11	Blue	A	84	242	240	2	0:01:28	1.467	0.80	0	1	45	16.9	165	upwind	163	upwind
92	20/09/2022	18:14	16	11	Orange	A	84	242	240	2	0:01:45	1.750	0.80	0	1	45	16.9	165	upwind	163	upwind
93	20/09/2022	18:25	16	11	Blue	A	84	242	240	2	0:02:00	2.000	0.80	0	1	45	16.4	165	upwind	163	upwind
94	20/09/2022	18:32	16	11	Blue	A	84	242	240	2	0:01:16	1.267	0.80	0	1	45	16.1	165	upwind	163	upwind
95	20/09/2022	18:44	16	11	Orange	A	84	242	250	8	0:01:53	1.883	0.80	0	1	45	15.7	155	upwind	163	upwind
96	20/09/2022	18:48	16	11	Orange	A	84	242	240	2	0:01:37	1.617	0.80	0	1	45	15.6	165	upwind	163	upwind
97	20/09/2022	19:00	16	11	Orange	A	84	242	240	2	0:01:24	1.400	0.80	0	1	45	15.6	165	upwind	163	upwind
98	22/09/2022	11:49	16	11	Orange	A	84	242	240	2	0:02:15	2.250	0.05	0	0.2	140	14.9	100	perpendicular	102	perpendicular
99	22/09/2022	11:52	16	11	Blue	A	84	242	240	2	0:07:20	7.333	0.05	0	0.2	140	14.9	100	perpendicular	102	perpendicular
100	22/09/2022	14:43	16	6	Blue	A	139	252	280	28	0:02:15	2.250	0.10	0	1.5	230	17.4	50	perpendicular	22	tailwind
