NestID	BaitID	Latitude	Longitude	Distance	DirectionFromBait	DirectionFromNest	Urbanisation50m	Urbanisation100m	Urbanisation25m	Traject100m	Traject50m	Traject25m	Urbanisation
1	20	50.9796268	3.7798035	2042	5.1	185.1	0.082920	0.062800	0.045341	0.051596	0.064192	0.073478	Landelijk
1	21	50.9795941	3.7798293	2046	5.1	185.1	0.071840	0.062800	0.038607	0.050945	0.063521	0.072451	Landelijk
4	1	50.9811479	4.5297689	272	22.0	202.0	0.105080	0.189400	0.053287	0.144407	0.124222	0.125587	Randstedelijk
3	2	50.9795267	4.5304371	150	200.0	20.0	0.009170	0.095900	0.282085	0.049973	0.003322	0.000000	Randstedelijk
6	1	51.0186139	3.7588517	730	321.5	141.5	0.218320	0.177100	0.000000	0.196515	0.213473	0.212758	Verstedelijkt
10	1	51.2941460	4.4825410	332	83.9	263.9	0.161150	0.210800	0.121041	0.227788	0.207525	0.179996	Verstedelijkt
10	2	51.2933170	4.4833640	301	64.9	244.9	0.088030	0.180700	0.107603	0.223711	0.211177	0.203303	Verstedelijkt
10	3	51.2936820	4.4846450	203	65.0	245.0	0.211210	0.194900	0.118920	0.226861	0.250042	0.249097	Verstedelijkt
10	4	51.2922670	4.4855010	274	27.0	207.0	0.142550	0.196600	0.046044	0.230955	0.23886	0.233674	Verstedelijkt
10	5	51.2927370	4.4866930	196	12.0	192.0	0.261270	0.265000	0.409722	0.244367	0.256687	0.267959	Verstedelijkt
10	6	51.2928130	4.4870890	184	4.0	184.0	0.321660	0.246200	0.334299	0.236102	0.254219	0.224776	Verstedelijkt
10	7	51.2932280	4.4868300	141	13.0	193.0	0.325100	0.262500	0.269007	0.238731	0.27347	0.233289	Verstedelijkt
10	8	51.2940100	4.4875710	54	338.0	158.0	0.199620	0.206100	0.141492	0.204949	0.211722	0.176506	Verstedelijkt
11	1	50.7819604	4.5965174	746	135.5	315.5	0.122020	0.113900	0.133155	0.034767	0.025175	0.031778	Landelijk
12	1	50.7510700	4.5637250	134	238.0	58.0	0.145710	0.104100	0.159598	0.061925	0.083809	0.093293	Landelijk
13	1	51.2760154	4.6105631	652	169.0	349.0	0.054010	0.073400	0.008199	0.076271	0.084245	0.061786	Randstedelijk
13	2	51.2680190	4.6170784	415	307.1	127.1	0.043820	0.102700	0.000000	0.064442	0.034836	0.026187	Randstedelijk
13	3	51.2687810	4.6070970	401	65.7	245.7	0.067130	0.053700	0.083150	0.062941	0.071579	0.075428	Randstedelijk
14	1	51.0048475	4.6229757	157	173.0	353.0	0.062410	0.071500	0.049318	0.041036	0.024179	0.029258	Landelijk
14	2	51.0010532	4.6225815	270	10.0	190.0	0.000000	0.000000	0.000000	0.00223	0.000000	0.000000	Landelijk
14	3	51.0035010	4.6265367	232	268.0	88.0	0.187870	0.232500	0.173868	0.105655	0.079813	0.095103	Landelijk
14	4	51.0062953	4.6270100	413	219.9	39.9	0.107880	0.170100	0.082208	0.110609	0.099113	0.096229	Landelijk
15	1	51.2990471	4.8468346	313	241.1	61.1	0.005480	0.001400	0.021791	0.000781	0.001091	0.002425	Landelijk
16	6	51.0350400	3.7203900	139	252.0	72.0	0.217420	0.220000	0.135473	0.300585	0.28778	0.281079	Verstedelijkt
16	7	51.0345720	3.7194940	70	277.0	97.0	0.455230	0.400800	0.384690	0.388075	0.406195	0.376805	Verstedelijkt
16	8	51.0353060	3.7193100	92	217.0	37.0	0.077440	0.168500	0.000000	0.266397	0.248766	0.189478	Verstedelijkt
16	10	51.0358300	3.7202800	181	223.0	43.0	0.063560	0.032100	0.094759	0.214042	0.184605	0.125115	Verstedelijkt
16	11	51.0350000	3.7195600	84	242.0	62.0	0.187110	0.258500	0.282775	0.31141	0.289022	0.318115	Verstedelijkt
16	2	51.0339600	3.7180300	83	24.0	204.0	0.203410	0.192900	0.140833	0.269767	0.293886	0.347894	Verstedelijkt
17	1	51.1231041	3.5671701	415	119.4	299.4	0.096800	0.083300	0.027663	0.047405	0.023294	0.004102	Landelijk
17	2	51.1223525	3.5702941	187	130.0	310.0	0.000000	0.007800	0.000000	0.009762	0.000000	0.000000	Landelijk
18	1	50.9399220	4.0752540	706	240.8	60.8	0.057700	0.091000	0.018350	0.162523	0.165056	0.166391	Landelijk
18	2	50.9377700	4.0709510	331	251.6	71.6	0.002420	0.007000	0.000000	0.120694	0.141952	0.106504	Landelijk
18	3	50.9377450	4.0694150	230	244.0	64.0	0.059860	0.111900	0.137011	0.169017	0.212098	0.223197	Landelijk
18	4	50.9370440	4.0649620	110	102.0	282.0	0.230290	0.246500	0.222074	0.221257	0.240213	0.302745	Landelijk
19	13	51.0316900	3.7169250	340	83.8	263.8	0.074000	0.169600	0.009205	0.184735	0.131473	0.083447	Verstedelijkt
20	1	50.9924048	4.6975972	188	313.0	133.0	0.000000	0.000000	0.000000	0.00848	0.01655	0.018155	Landelijk
20	2	50.9978622	4.6939184	494	165.8	345.8	0.123550	0.116800	0.138420	0.103914	0.123523	0.147038	Randstedelijk
22	11	51.0350000	3.7195600	687	63.0	243.0	0.187110	0.258500	0.282775	0.320491	0.305686	0.320062	Landelijk
21	Mais	51.0597350	3.6386810	583	123.3	303.3	0.000000	0.063900	0.000000	0.108399	0.100505	0.108828	Landelijk
21	Koeien	51.0551280	3.6395300	469	65.8	245.8	0.000000	0.000000	0.000000	0.076086	0.077475	0.078888	Randstedelijk
21	Miserie	51.0587180	3.6401730	435	118.4	298.4	0.068910	0.078300	0.000000	0.116327	0.130594	0.113351	Randstedelijk
21	Allure	51.0572960	3.6429230	196	104.0	284.0	0.152210	0.120800	0.056899	0.138884	0.142446	0.138576	Randstedelijk
