NestID	BaitID	Latitude	Longitude	Distance	DirectionFromBait	DirectionFromNest	Urbanisation50m	Urbanisation100m	Urbanisation25m	Traject100m	Traject50m	Traject25m	Urbanisation
21	Paradijskouter1	51.0558030	3.6455410	118	3.0	183.0	0.170420	0.165800	0.000000	0.159186	0.121338	0.069821	Randstedelijk
21	Paradijskouter2	51.0558790	3.6455240	109	4.0	184.0	0.111830	0.163700	0.007494	0.159407	0.115623	0.069306	Randstedelijk
21	Kruisstraat1	51.0579320	3.6475840	181	229.0	49.0	0.170420	0.148100	0.025200	0.147329	0.145649	0.134965	Randstedelijk
21	Kruisstraat2	51.0579650	3.6472060	165	222.0	42.0	0.179090	0.144000	0.149305	0.151335	0.162144	0.112447	Randstedelijk
21	Grasmaaier	51.0568200	3.6453670	19	77.0	257.0	0.088140	0.146900	0.023742	0.150512	0.116095	0.030459	Randstedelijk
21	Klaphof	51.0572570	3.6453850	48	158.0	338.0	0.134630	0.159500	0.160376	0.150009	0.127521	0.091096	Randstedelijk
23	1	51.3929400	4.5062900	957	63.6	243.6	0.033250	0.096500	0.018410	0.052506	0.035727	0.027621	Landelijk
23	2	51.3962800	4.5110800	526	84.2	264.2	0.017830	0.048600	0.000000	0.037642	0.034297	0.030406	Landelijk
23	3	51.3963700	4.5156000	214	78.0	258.0	0.087260	0.021800	0.255592	0.018929	0.032568	0.042844	Landelijk
24	1	50.8981440	4.7631200	889	49.9	229.9	0.000000	0.000000	0.000000	0.019367	0.012613	0.002458	Randstedelijk
24	2	50.9017340	4.7667470	459	67.8	247.8	0.000000	0.000000	0.000000	0.0365	0.022743	0.025659	Randstedelijk
24	3	50.9024990	4.7696650	237	68.0	248.0	0.015030	0.014400	0.000000	0.056932	0.039136	0.047269	Randstedelijk
26	1	50.9713438	4.1858308	548	203.3	23.3	0.166220	0.265000	0.175201	0.250314	0.228628	0.205547	Landelijk
27	1	50.7707396	2.8215275	674	280.5	100.5	0.000000	0.000000	0.000000	0.007851	0.008717	0.004756	Landelijk
28	Asterdreef	51.0503670	3.7582290	359	72.5	252.5	0.268880	0.244500	0.235262	0.268643	0.236136	0.240447	Verstedelijkt
29	1	50.9570209	4.8425238	619	88.2	268.2	0.009040	0.002300	0.000000	0.024929	0.012365	0.00005	Landelijk
30	1	50.9942622	4.8281528	197	35.0	215.0	0.107370	0.087600	0.104961	0.084569	0.088482	0.097045	Randstedelijk
30	2	50.9942886	4.8350565	404	293.1	113.1	0.000000	0.005800	0.000000	0.028591	0.009679	0.002115	Randstedelijk
30	3	50.9937553	4.8362176	503	295.6	115.6	0.012740	0.119400	0.019843	0.051066	0.010088	0.003243	Randstedelijk
30	4	50.9963887	4.8367092	493	261.2	81.2	0.006240	0.084400	0.000000	0.087849	0.009753	0.079044	Randstedelijk
30	5	51.0014576	4.8395544	939	227.1	47.1	0.159090	0.140400	0.000000	0.120295	0.07804	0.133586	Randstedelijk
30	6	50.9920435	4.8410502	891	297.2	117.2	0.195640	0.273500	0.068009	0.141511	0.135932	0.095843	Randstedelijk
30	7	50.9937397	4.8362313	504	295.8	115.8	0.000000	0.061300	0.000000	0.051134	0.107211	0.003239	Randstedelijk
31	Koeien	51.0551280	3.6395300	1058	114.2	294.2	0.000000	0.000000	0.000000	0.07251	0.066459	0.070042	Landelijk
31	Paradijskouter1	51.0579320	3.6475840	846	151.8	331.8	0.170420	0.148100	0.025200	0.152996	0.171225	0.171756	Randstedelijk
32	SintJobsstraat	51.1806770	4.8423100	448	48.4	228.4	0.002170	0.009700	0.000000	0.00362	0.003591	0.003347	Landelijk
32	Hondenweide	51.1827020	4.8438110	241	73.0	253.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	Landelijk
33	Hof Ter Mere	51.0338520	3.7096690	78	113.0	293.0	0.454460	0.330300	0.480690	0.360435	0.388294	0.384693	Verstedelijkt
34	1	50.9703667	4.8029139	980	252.8	72.8	0.022420	0.016300	0.000000	0.023332	0.002918	0.000252	Randstedelijk
34	2	50.9620196	4.7936438	700	336.0	156.0	0.196280	0.144500	0.013585	0.110133	0.125847	0.135544	Randstedelijk
35	1	50.9791400	4.7433969	684	204.4	24.4	0.091840	0.088500	0.129349	0.034218	0.031267	0.025115	Landelijk
35	2	50.9785380	4.7381440	562	171.1	351.1	0.125460	0.091500	0.126464	0.020334	0.016446	0.00825	Landelijk
36	1	50.9836903	4.7514690	439	163.0	343.0	0.115650	0.119100	0.050612	0.043395	0.02765	0.013292	Landelijk
36	2	50.9801993	4.7474469	412	94.3	274.3	0.000000	0.000000	0.000000	0.033995	0.044187	0.046403	Landelijk
37	1	51.1616504	3.4744200	691	171.6	351.6	0.051970	0.022500	0.175085	0.041901	0.049517	0.03122	Landelijk
37	2	51.1592030	3.4757090	412	178.5	358.5	0.045220	0.023100	0.000000	0.024403	0.045437	0.04754	Landelijk
38	Apotheek	51.0612700	3.7478600	53	3.0	183.0	0.535090	0.532600	0.535040	0.49695	0.52926	0.580485	Verstedelijkt
38	Azaleapark	51.0612100	3.7497200	130	293.0	113.0	0.215000	0.330600	0.024306	0.411898	0.3679	0.384699	Verstedelijkt
39	Apotheek	51.0612700	3.7478600	33	23.0	203.0	0.535090	0.532600	0.535040	0.50496	0.537038	0.560763	Verstedelijkt
40	Goorstraat	50.9817100	4.5306300	164	25.0	205.0	0.180870	0.154100	0.171965	0.128943	0.133817	0.133207	Randstedelijk
40	Venstraat_tuin	50.9834100	4.5326400	82	240.0	60.0	0.110300	0.095200	0.107350	0.09034	0.125315	0.113122	Randstedelijk
40	Venstraat_doodlopend	50.9827300	4.5345300	207	280.0	100.0	0.113110	0.085900	0.129545	0.091513	0.108684	0.119574	Randstedelijk
40	ImkerBart	50.9811479	4.5297689	248	32.0	212.0	0.105080	0.189400	0.053287	0.142045	0.126527	0.156451	Randstedelijk
41	Apotheek	50.9706260	4.6927770	869	13.3	193.3	0.277531	0.245115	0.278679	0.130349	0.125389	0.125787	Landelijk
41	Werchtersebaan	50.9888100	4.7024000	1269	202	22	0.182915	0.147197	0.112268	0.064867	0.049277	0.050243	Landelijk
