"NestID"	"BaitID"	"ColorInd"	"ID"	"Date"	"Time"	"Observer"	"Distance"	"DirectionToNest"	"Flightdirection"	"FlightError"	"Flighttime"	"Flighttime_min"	"Cloudcoverage"	"Rain"	"Windspeed"	"Winddirection"	"Temperature"	"Winddifference_flightdirection"	"Wind_flight"	"Winddifference_nestdirection"	"Wind_nest"	"test_rule_of_thumb"	"ForagingSpeed"	"Urbanisation25m"	"Urbanisation50m"	"Urbanisation100m"	"Traject25m"	"Traject50m"	"Traject100m"	"Urbanisation"	"Weight_ind"	"Height"	"Individualcode"	"Baitcode"
"1"	3	"2"	"Green"	6	"31/08/2022"	"13:31"	"A"	150	200	200	0	"0:01:38"	1.633	0	0	2.3	80	23	120	"perpendicular"	120	"perpendicular"	1.53092467850582	3.06184935701163	0.282085	0.00917	0.0959	0	0.003322	0.049973	"Randstedelijk"	0.36	38	"3_2_Green"	"3_2"
"2"	3	"2"	"Pink"	7	"31/08/2022"	"14:47"	"A"	150	200	180	20	"0:01:31"	1.517	0	0	2.3	80	24	100	"perpendicular"	120	"perpendicular"	1.6479894528675	3.295978905735	0.282085	0.00917	0.0959	0	0.003322	0.049973	"Randstedelijk"	0.4	38	"3_2_Pink"	"3_2"
"3"	4	"1"	"Blue"	1	"31/08/2022"	"11:35"	"A"	272	22	20	2	"0:02:10"	2.167	0.8	0	2.3	40	20	20	"tailwind"	18	"tailwind"	2.09198584833103	4.18397169666205	0.053287	0.10508	0.1894	0.125587	0.124222	0.144407	"Randstedelijk"	0.36	18	"4_1_Blue"	"4_1"
"4"	10	"1"	"Blue"	9	"20/07/2022"	NA	"P"	332	83.9	NA	NA	"0:02:28"	2.467	NA	0	3	270	32	90	"perpendicular"	173.9	"upwind"	2.24294014322389	4.48588028644778	0.121041	0.16115	0.2108	0.179996	0.207525	0.227788	"Verstedelijkt"	NA	16	"10_1_Blue"	"10_1"
"5"	10	"2"	"Green"	8	"10/07/2022"	NA	"P"	301	64.9	40	24.9	"0:02:30"	2.5	NA	0	3	0	24	40	"tailwind"	64.9	"perpendicular"	2.00666666666667	4.01333333333333	0.107603	0.08803	0.1807	0.203303	0.211177	0.223711	"Verstedelijkt"	NA	16	"10_2_Green"	"10_2"
"6"	11	"1"	"White"	10	"7/09/2022"	"18:00"	"D"	746	135.5	135	0.5	"0:05:30"	5.5	NA	0	3	210	23	75	"perpendicular"	74.5	"perpendicular"	2.26060606060606	4.52121212121212	0.133155	0.12202	0.1139	0.031778	0.025175	0.034767	"Landelijk"	NA	32	"11_1_White"	"11_1"
"7"	12	"1"	"Blue"	11	"6/09/2022"	NA	"F"	134	238	240	2	"0:01:10"	1.167	0	0	3	270	27	30	"tailwind"	32	"tailwind"	1.91373893173379	3.82747786346758	0.159598	0.14571	0.1041	0.093293	0.083809	0.061925	"Landelijk"	NA	25	"12_1_Blue"	"12_1"
"8"	13	"1"	"White"	12	"25/08/2022"	"17:57"	"G"	652	169	155	14	"0:05:00"	5	NA	0	2	270	27	115	"perpendicular"	101	"perpendicular"	2.17333333333333	4.34666666666667	0.008199	0.05401	0.0734	0.061786	0.084245	0.076271	"Randstedelijk"	NA	26	"13_1_White"	"13_1"
"9"	13	"2"	"Red"	13	"27/08/2022"	"19:30"	"G"	415	307.1	310	2.9	"0:03:00"	3	NA	0	3	0	21	50	"perpendicular"	52.9	"perpendicular"	2.30555555555556	4.61111111111111	0	0.04382	0.1027	0.026187	0.034836	0.064442	"Randstedelijk"	NA	26	"13_2_Red"	"13_2"
"10"	13	"3"	"Blue"	14	"30/08/2022"	"21:02"	"G"	401	65.7	80	14.3	"0:03:00"	3	NA	0	2.5	20	19	60	"perpendicular"	45.7	"perpendicular"	2.22777777777778	4.45555555555556	0.08315	0.06713	0.0537	0.075428	0.071579	0.062941	"Randstedelijk"	NA	26	"13_3_Blue"	"13_3"
"11"	14	"1"	"Blue"	16	"29/07/2022"	"14:00"	"H"	157	173	161	12	"0:04:00"	4	NA	0	2	0	27	161	"upwind"	173	"upwind"	0.654166666666667	1.30833333333333	0.049318	0.06241	0.0715	0.029258	0.024179	0.041036	"Landelijk"	NA	30	"14_1_Blue"	"14_1"
"12"	14	"1"	"Red/Yellow/Red"	15	"29/07/2022"	"14:00"	"H"	157	173	112	61	"0:03:00"	3	NA	0	2	0	27	112	"perpendicular"	173	"upwind"	0.872222222222222	1.74444444444444	0.049318	0.06241	0.0715	0.029258	0.024179	0.041036	"Landelijk"	NA	30	"14_1_Red/Yellow/Red"	"14_1"
"13"	14	"2"	"Yellow"	17	"30/07/2022"	"14:00"	"H"	270	10	25	15	"0:02:12"	2.2	NA	0	2	300	28	85	"perpendicular"	70	"perpendicular"	2.04545454545455	4.09090909090909	0	0	0	0	0	0.00223	"Landelijk"	NA	30	"14_2_Yellow"	"14_2"
"14"	14	"3"	"Red/White"	18	"29/07/2022"	"14:00"	"H"	232	268	260	8	"0:02:24"	2.4	NA	0	2	0	27	100	"perpendicular"	92	"perpendicular"	1.61111111111111	3.22222222222222	0.173868	0.18787	0.2325	0.095103	0.079813	0.105655	"Landelijk"	NA	30	"14_3_Red/White"	"14_3"
"15"	14	"3"	"Yellow/White"	19	"30/07/2022"	"14:00"	"H"	232	268	260	8	"0:02:09"	2.15	NA	0	2	300	28	40	"tailwind"	32	"tailwind"	1.7984496124031	3.5968992248062	0.173868	0.18787	0.2325	0.095103	0.079813	0.105655	"Landelijk"	NA	30	"14_3_Yellow/White"	"14_3"
"16"	14	"4"	"White/Red"	20	"29/07/2022"	"14:00"	"H"	413	219.9	181	38.9	"0:02:00"	2	NA	0	2	0	27	179	"upwind"	140.1	"upwind"	3.44166666666667	6.88333333333333	0.082208	0.10788	0.1701	0.096229	0.099113	0.110609	"Landelijk"	NA	30	"14_4_White/Red"	"14_4"
