ID	Date	Time	NestID	BaitID	ColorInd	Observer	Distance	DirectionToNest	Flightdirection	FlightError	Flighttime	Flighttime_min	Cloudcoverage	Rain	Windspeed	Winddirection	Temperature	Winddifference	Wind		
1	1/09/2022	11:59	1	20	Orange	Researcher	2042	5.1	0	5.1	0:09:43	9.717	0.00	0	4	50	23.0	50	perpendicular		
2	1/09/2022	12:21	1	20	Orange	Researcher	2042	5.1	0	5.1	0:12:32	12.533	0.00	0	4	50	23.0	50	perpendicular		
3	1/09/2022	12:42	1	20	Orange	Researcher	2042	5.1	0	5.1	0:11:47	11.783	0.00	0	4	50	23.0	50	perpendicular		
4	1/09/2022	13:52	1	20	Orange	Researcher	2042	5.1	0	5.1	0:11:43	11.717	0.00	0	4	50	23.0	50	perpendicular		
5	1/09/2022	14:13	1	20	Blue	Researcher	2042	5.1	0	5.1	0:19:06	19.100	0.00	0	4	50	24.0	50	perpendicular		
6	1/09/2022	14:35	1	20	Blue	Researcher	2042	5.1	0	5.1	0:15:46	15.767	0.00	0	4	50	24.0	50	perpendicular		
7	1/09/2022	14:35	1	20	Orange	Researcher	2042	5.1	0	5.1	0:10:39	10.650	0.00	0	4	50	24.0	50	perpendicular		
8	1/09/2022	14:54	1	20	Blue	Researcher	2042	5.1	0	5.1	0:17:22	17.367	0.00	0	4	50	25.0	50	perpendicular		
9	1/09/2022	14:53	1	20	Orange	Researcher	2042	5.1	0	5.1	0:10:00	10.000	0.00	0	4	50	25.0	50	perpendicular		
10	2/09/2022	12:23	1	21	Pink	Researcher	2046	5.1	340	25.1	0:11:24	11.400	0.00	0	4	120	25.0	140	upwind		
11	2/09/2022	12:19	1	21	Unmarked	Researcher	2046	5.1	0	5.1			0.00	0	4	120	25.0	120	perpendicular		
12	2/09/2022	12:38	1	21	Pink	Researcher	2046	5.1	340	25.1	0:11:03	11.050	0.00	0	4	120	25.0	140	upwind		
13	2/09/2022	12:32	1	21	Unmarked	Researcher	2046	5.1	0	5.1			0.00	0	4	120	25.0	120	perpendicular		
14	2/09/2022	12:53	1	21	Pink	Researcher	2046	5.1	0	5.1	0:11:50	11.833	0.00	0	4	120	25.0	120	perpendicular		
15	2/09/2022	12:59	1	21	Unmarked	Researcher	2046	5.1	340	25.1			0.00	0	4	120	25.0	140	upwind		
16	2/09/2022	13:01	1	21	Green	Researcher	2046	5.1	40	34.9	0:07:00	7.000	0.00	0	4	120	26.0	80	perpendicular		
17	2/09/2022	13:11	1	21	Pink	Researcher	2046	5.1	0	5.1	0:10:37	10.617	0.00	0	4	120	26.0	120	perpendicular		
18	2/09/2022	13:22	1	21	Green	Researcher	2046	5.1	70	64.9	0:10:06	10.100	0.00	0	4	120	26.0	50	perpendicular		
19	2/09/2022	13:33	1	21	Red	Researcher	2046	5.1	0	5.1	0:10:01	10.017	0.00	0	4	120	26.0	120	perpendicular		
20	2/09/2022	13:40	1	21	Green	Researcher	2046	5.1	70	64.9	0:09:47	9.783	0.00	0	4	120	26.0	50	perpendicular		
21	2/09/2022	13:46	1	21	Unmarked	Researcher	2046	5.1	320	45.1			0.00	0	4	120	26.0	160	upwind		
22	2/09/2022	13:57	1	21	Red	Researcher	2046	5.1	0	5.1	0:08:46	8.767	0.00	0	4	120	26.0	120	perpendicular		
23	2/09/2022	14:10	1	21	Green	Researcher	2046	5.1	60	54.9			0.00	0	4	120	27.0	60	perpendicular		
24	31/08/2022	13:25	3	2	Pink	Researcher	150	200	180	20	0:02:18	2.300	0.00	0	2.3	80	23.0	100	perpendicular		
25	31/08/2022	13:31	3	2	Green	Researcher	150	200	200	0	0:01:38	1.633	0.00	0	2.3	80	23.0	120	perpendicular		
26	31/08/2022	13:36	3	2	Pink	Researcher	150	200	200	0	0:01:33	1.550	0.00	0	2.3	80	23.0	120	perpendicular		
27	31/08/2022	13:58	3	2	Green	Researcher	150	200	220	20	0:01:54	1.900	0.00	0	2.3	80	23.0	140	upwind		
28	31/08/2022	14:01	3	2	Pink	Researcher	150	200	180	20	0:02:41	2.683	0.00	0	2.3	80	23.0	100	perpendicular		
