Date	Time	NestID	BaitID	ColorInd	Observer	Distance	DirectionToNest	Flightdirection	FlightError	Flighttime	Flighttime_min	Cloudcoverage	Rain	Windspeed	Winddirection	Temperature				
1/09/2022	11:59	1	20	Orange	Researcher	2042	5.1	0	5.1	0:09:43	9.717	0%	0	4	50	23.0				
1/09/2022	12:21	1	20	Orange	Researcher	2042	5.1	0	5.1	0:12:32	12.533	0%	0	4	50	23.0				
1/09/2022	12:42	1	20	Orange	Researcher	2042	5.1	0	5.1	0:11:47	11.783	0%	0	4	50	23.0				
1/09/2022	13:52	1	20	Orange	Researcher	2042	5.1	0	5.1	0:11:43	11.717	0%	0	4	50	23.0				
1/09/2022	14:13	1	20	Blue	Researcher	2042	5.1	0	5.1	0:19:06	19.100	0%	0	4	50	24.0				
1/09/2022	14:35	1	20	Blue	Researcher	2042	5.1	0	5.1	0:15:46	15.767	0%	0	4	50	24.0				
1/09/2022	14:35	1	20	Orange	Researcher	2042	5.1	0	5.1	0:10:39	10.650	0%	0	4	50	24.0				
1/09/2022	14:54	1	20	Blue	Researcher	2042	5.1	0	5.1	0:17:22	17.367	0%	0	4	50	25.0				
1/09/2022	14:53	1	20	Orange	Researcher	2042	5.1	0	5.1	0:10:00	10.000	0%	0	4	50	25.0				
2/09/2022	12:23	1	21	Pink	Researcher	2046	5.1	340	25.1	0:11:24	11.400	0%	0	4	120	25.0				
2/09/2022	12:19	1	21	Unmarked	Researcher	2046	5.1	0	5.1			0%	0	4	120	25.0				
2/09/2022	12:38	1	21	Pink	Researcher	2046	5.1	340	25.1	0:11:03	11.050	0%	0	4	120	25.0				
2/09/2022	12:32	1	21	Unmarked	Researcher	2046	5.1	0	5.1			0%	0	4	120	25.0				
2/09/2022	12:53	1	21	Pink	Researcher	2046	5.1	0	5.1	0:11:50	11.833	0%	0	4	120	25.0				
2/09/2022	12:59	1	21	Unmarked	Researcher	2046	5.1	340	25.1			0%	0	4	120	25.0				
2/09/2022	13:01	1	21	Green	Researcher	2046	5.1	40	34.9	0:07:00	7.000	0%	0	4	120	26.0				
2/09/2022	13:11	1	21	Pink	Researcher	2046	5.1	0	5.1	0:10:37	10.617	0%	0	4	120	26.0				
2/09/2022	13:22	1	21	Green	Researcher	2046	5.1	70	64.9	0:10:06	10.100	0%	0	4	120	26.0				
2/09/2022	13:33	1	21	Red	Researcher	2046	5.1	0	5.1	0:10:01	10.017	0%	0	4	120	26.0				
2/09/2022	13:40	1	21	Green	Researcher	2046	5.1	70	64.9	0:09:47	9.783	0%	0	4	120	26.0				
2/09/2022	13:46	1	21	Unmarked	Researcher	2046	5.1	320	45.1			0%	0	4	120	26.0				
2/09/2022	13:57	1	21	Red	Researcher	2046	5.1	0	5.1	0:08:46	8.767	0%	0	4	120	26.0				
2/09/2022	14:10	1	21	Green	Researcher	2046	5.1	60	54.9			0%	0	4	120	27.0				
31/08/2022	13:25	3	2	Pink	Researcher	150	200	180	20	0:02:18	2.300	0%	0	2.3	80	23.0				
31/08/2022	13:31	3	2	Green	Researcher	150	200	200	0	0:01:38	1.633	0%	0	2.3	80	23.0				
31/08/2022	13:36	3	2	Pink	Researcher	150	200	200	0	0:01:33	1.550	0%	0	2.3	80	23.0				
31/08/2022	13:58	3	2	Green	Researcher	150	200	220	20	0:01:54	1.900	0%	0	2.3	80	23.0				
31/08/2022	14:01	3	2	Pink	Researcher	150	200	180	20	0:02:41	2.683	0%	0	2.3	80	23.0				
31/08/2022	14:10	3	2	Pink	Researcher	150	200	180	20	0:03:10	3.167	0%	0	2.3	80	23.0				
31/08/2022	14:18	3	2	Pink	Researcher	150	200	180	20	0:02:30	2.500	0%	0	2.3	80	24.0				
31/08/2022	14:18	3	2	Green	Researcher	150	200	220	20	0:03:03	3.050	0%	0	2.3	80	24.0				
31/08/2022	14:29	3	2	Pink	Researcher	150	200	180	20	0:02:04	2.067	0%	0	2.3	80	24.0				
31/08/2022	14:47	3	2	Pink	Researcher	150	200	180	20	0:01:31	1.517	0%	0	2.3	80	24.0				
31/08/2022	11:19	4	1	Blue	Researcher	272	22	40	18	0:04:20	4.333	80%	0	2.3	60	20.0				
31/08/2022	11:23	4	1	Blue	Researcher	272	22	40	18	0:02:50	2.833	80%	0	2.3	40	20.0				
31/08/2022	11:30	4	1	Blue	Researcher	272	22	20	2	0:02:17	2.283	80%	0	2.3	40	20.0				
31/08/2022	11:35	4	1	Blue	Researcher	272	22	20	2	0:02:10	2.167	80%	0	2.3	40	20.0				
31/08/2022	11:49	4	1	Blue	Researcher	272	22	20	2	0:02:36	2.600	80%	0	2.3	40	21.0				
31/08/2022	11:56	4	1	Blue	Researcher	272	22	20	2	0:02:40	2.667	80%	0	2.3	40	21.0				
31/08/2022	12:01	4	1	Blue	Researcher	272	22	20	2	0:02:36	2.600	80%	0	2.3	40	21.0				
7/09/2022	8:45	6	1	Zender	Researcher	730	321.5	280	41.5	0:10:10	10.167	10%	0	2	180	16.0				
9/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0				
9/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0				
9/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:02:40	2.667		0	3	0	24.0				
10/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:03:00	3.000		0	3	0	24.0				
10/07/2022		10	2	Green	Volunteer	301	64.9	40	24.9	0:02:30	2.500		0	3	0	24.0				
13/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:03:00	3.000		0	1	270	30.0				
13/07/2022		10	2	Green	Volunteer	301	64.9	50	14.9	0:03:00	3.000		0	1	270	30.0				
20/07/2022		10	1	Blue	Volunteer	332	83.9			0:02:28	2.467		0	3	270	32.0				
		10	3	Unmarked	Volunteer	203	65	20	45							32.0				
		10	4	Unmarked	Volunteer	274	27	20	7											
		10	5	Unmarked	Volunteer	196	12	20	8											
		10	6	Unmarked	Volunteer	184	4	20	16											
		10	7	Unmarked	Volunteer	141	13	20	7											
		10	8	Unmarked	Volunteer	54	338	350	12											
7/09/2022	18:00	11	1	White	Volunteer	746	135.5	135	0.5	0:05:30	5.500		0	3	210	23.0				
6/09/2022		12	1	Blue	Volunteer	134	238	240	2	0:01:10	1.167	0%	0	3	270	27.0				
25/08/2022	17:57	13	1	White	Volunteer	652	169	155	14	0:05:00	5.000		0	2	270	27.0				
27/08/2022	19:30	13	2	Red	Volunteer	415	307.1	310	2.9	0:03:00	3.000		0	3	0	21.0				
30/08/2022	21:02	13	3	Blue	Volunteer	401	65.7	80	14.3	0:03:00	3.000		0	2.5	20	19.0				
29/07/2022	14:00	14	1	Red/Yellow/Red	Volunteer	157	173	112	61	0:03:00	3.000		0	2	0	27.0				
29/07/2022	14:00	14	1	Blue	Volunteer	157	173	161	12	0:04:00	4.000		0	2	0	27.0				
30/07/2022	14:00	14	2	Yellow	Volunteer	270	10	25	15	0:02:12	2.200		0	2	300	28.0				
29/07/2022	14:00	14	3	Red/White	Volunteer	232	268	260	8	0:02:24	2.400		0	2	0	27.0				
30/07/2022	14:00	14	3	Yellow/White	Volunteer	232	268	260	8	0:02:09	2.150		0	2	300	28.0				
29/07/2022	14:00	14	4	White/Red	Volunteer	413	219.9	181	38.9	0:02:00	2.000		0	2	0	27.0				
29/07/2022	14:00	14	4	White/Red	Volunteer	413	219.9	181	38.9	0:02:09	2.150		0	2	0	27.0				
14/08/2022	16:40	15	1	Green	Volunteer	313	241.1	260	18.9	0:02:48	2.800		0	2	100	32.0				
8/09/2022	13:59	16	7	Blue	Researcher	70	277	20	103	0:01:49	1.817	90%	0	4.5	220	19.1				
8/09/2022	14:01	16	7	Unmarked	Researcher	70	277	20	103			90%	0	4.5	220	19.1				
8/09/2022	14:04	16	7	Blue	Researcher	70	277	340	63	0:01:07	1.117	90%	0	4.5	220	19.1				
8/09/2022	14:07	16	7	Blue	Researcher	70	277	320	43	0:02:06	2.100	90%	0	4.5	220	19.1				
8/09/2022	14:09	16	7	Blue	Researcher	70	277			0:00:55	0.917	90%	0	4.5	220	19.1				
8/09/2022	14:11	16	7	Blue	Researcher	70	277	300	23	0:01:05	1.083	90%	0	4.5	220	19.1				
8/09/2022	14:15	16	7	Blue	Researcher	70	277	300	23	0:01:08	1.133	90%	0	4.5	220	19.1				
1/09/2022	12:30	16	8	Yellow	Researcher	92	217	180	37	0:02:11	2.183	0%	0	4	50	23.0				
1/09/2022	12:35	16	8	Yellow	Researcher	92	217	180	37	0:02:10	2.167	0%	0	4	50	23.0				
1/09/2022	12:43	16	8	Yellow	Researcher	92	217	180	37	0:04:03	4.050	0%	0	4	50	23.0				
2/09/2022	10:48	16	10	Yellow	Researcher	181	223	200	23	0:01:49	1.817	0%	0	4	120	25.0				
2/09/2022	10:59	16	10	Yellow	Researcher	181	223	200	23	0:01:57	1.950	0%	0	4	120	25.0				
2/09/2022	11:06	16	10	Yellow	Researcher	181	223	200	23	0:03:30	3.500	0%	0	4	120	25.0				
6/09/2022	10:24	16	10	Yellow	Researcher	181	223	200	23	0:04:16	4.267		0	3	200	23.0				
6/09/2022	10:54	16	10	Yellow	Researcher	181	223	200	23	0:02:15	2.250		0	3	200	23.0				
15/09/2022	16:25	16	11	Unmarked	Researcher	84	242	240	2	0:01:41	1.683	100%	0	2		16.0				
15/09/2022	16:28	16	11	Unmarked	Researcher	84	242	240	2	0:01:02	1.033	100%	0	2		16.0				
15/09/2022	16:30	16	11	Unmarked	Researcher	84	242	240	2	0:01:36	1.600	100%	0	2		16.0				
		16	2		Researcher	83	24	60	36											
20/09/2022	17:35	16	11	Blue	Researcher	84	242	240	2	0:01:30	1.500	80%	0	1	45	17.2				
20/09/2022	17:47	16	11	Orange	Researcher	84	242	240	2			80%	0	1	45	17.2				
20/09/2022	18:03	16	11	Blue	Researcher	84	242	240	2	0:01:18	1.300	80%	0	1	45	17.0				
20/09/2022	18:08	16	11	Blue	Researcher	84	242	240	2	0:01:28	1.467	80%	0	1	45	16.9				
20/09/2022	18:14	16	11	Orange	Researcher	84	242	240	2	0:01:45	1.750	80%	0	1	45	16.9				
20/09/2022	18:25	16	11	Blue	Researcher	84	242	240	2	0:02:00	2.000	80%	0	1	45	16.4				
20/09/2022	18:32	16	11	Blue	Researcher	84	242	240	2	0:01:16	1.267	80%	0	1	45	16.1				
20/09/2022	18:44	16	11	Orange	Researcher	84	242	250	8	0:01:53	1.883	80%	0	1	45	15.7				
20/09/2022	18:48	16	11	Orange	Researcher	84	242	240	2	0:01:37	1.617	80%	0	1	45	15.6				
20/09/2022	19:00	16	11	Orange	Researcher	84	242	240	2	0:01:24	1.400	80%	0	1	45	15.6				
22/09/2022	11:49	16	11	Orange	Researcher	84	242	240	2	0:02:15	2.250	5%	0	0.2	140	14.9				
22/09/2022	11:52	16	11	Blue	Researcher	84	242	240	2	0:07:20	7.333	5%	0	0.2	140	14.9				
22/09/2022	14:43	16	6	Blue	Researcher	139	252	280	28	0:02:15	2.250	10%	0	1.5	230	17.4				
22/09/2022	14:56	16	6	Orange	Researcher	139	252	320	68	0:02:33	2.550	10%	0	1.5	230	14.7				
22/09/2022	15:00	16	6	Orange	Researcher	139	252	280	28	0:04:09	4.150	10%	0	1.5	230	17.7				
22/09/2022	15:07	16	6	Orange	Researcher	139	252	280	28	0:03:13	3.217	10%	0	2	230	17.3				
22/09/2022	15:21	16	6	Orange	Researcher	139	252	280	28	0:06:16	6.267	10%	0	2	230	18.0				
22/09/2022	15:33	16	6	Orange	Researcher	139	252	280	28	0:08:20	8.333	10%	0	2	230	18.0				
