Date;Time;NestID;BaitID;ColorInd;Observer;Distance;DirectionToNest;Flightdirection;FlightError;Flighttime;Speed(m/min);Cloudcoverage;Rain;Windspeed;Winddirection;Temperature;;
31/08/2022;11:19;4;1;Blue;Researcher;272;22;40;18;4:20:00;62,77;80%;0;2,3;60;20,0;eerste vlucht na merken -> langer;
31/08/2022;11:23;4;1;Blue;Researcher;272;22;40;18;2:50:00;96,00;80%;0;2,3;40;20,0;;
31/08/2022;11:30;4;1;Blue;Researcher;272;22;20;2;2:17:00;119,12;80%;0;2,3;40;20,0;;
31/08/2022;11:35;4;1;Blue;Researcher;272;22;20;2;2:10:00;125,54;80%;0;2,3;40;20,0;;
31/08/2022;11:49;4;1;Blue;Researcher;272;22;20;2;2:36:00;104,62;80%;0;2,3;40;21,0;;
31/08/2022;11:56;4;1;Blue;Researcher;272;22;20;2;2:40:00;102,00;80%;0;2,3;40;21,0;;
31/08/2022;12:01;4;1;Blue;Researcher;272;22;20;2;2:36:00;104,62;80%;0;2,3;40;21,0;;
31/08/2022;13:25;3;2;Pink;Researcher;150;200;180;20;2:18:00;65,22;0%;0;2,3;80;23,0;;
31/08/2022;13:31;3;2;Green;Researcher;150;200;200;0;1:38:00;91,84;0%;0;2,3;80;23,0;;
31/08/2022;13:36;3;2;Pink;Researcher;150;200;200;0;1:33:00;96,77;0%;0;2,3;80;23,0;;
31/08/2022;13:58;3;2;Green;Researcher;150;200;220;20;1:54:00;78,95;0%;0;2,3;80;23,0;;
31/08/2022;14:01;3;2;Pink;Researcher;150;200;180;20;2:41:00;55,90;0%;0;2,3;80;23,0;;
31/08/2022;14:10;3;2;Pink;Researcher;150;200;180;20;3:10:00;47,37;0%;0;2,3;80;23,0;;
31/08/2022;14:18;3;2;Pink;Researcher;150;200;180;20;2:30:00;60,00;0%;0;2,3;80;24,0;;
31/08/2022;14:18;3;2;Green;Researcher;150;200;220;20;3:03:00;49,18;0%;0;2,3;80;24,0;;
31/08/2022;14:29;3;2;Pink;Researcher;150;200;180;20;2:04:00;72,58;0%;0;2,3;80;24,0;;
31/08/2022;14:47;3;2;Pink;Researcher;150;200;180;20;1:31:00;98,90;0%;0;2,3;80;24,0;;
1/09/2022;11:59;1;20;Orange;Researcher;2042;5,1;0;5,1;9:43:00;210,15;0%;0;4;50;23,0;;
1/09/2022;12:21;1;20;Orange;Researcher;2042;5,1;0;5,1;12:32:00;162,93;0%;0;4;50;23,0;;
1/09/2022;12:42;1;20;Orange;Researcher;2042;5,1;0;5,1;11:47:00;173,30;0%;0;4;50;23,0;;
1/09/2022;13:52;1;20;Orange;Researcher;2042;5,1;0;5,1;11:43:00;174,28;0%;0;4;50;23,0;;
1/09/2022;14:13;1;20;Blue;Researcher;2042;5,1;0;5,1;19:06:00;106,91;0%;0;4;50;24,0;;
1/09/2022;14:35;1;20;Blue;Researcher;2042;5,1;0;5,1;15:46:00;129,51;0%;0;4;50;24,0;;
1/09/2022;14:35;1;20;Orange;Researcher;2042;5,1;0;5,1;10:39:00;191,74;0%;0;4;50;24,0;;
1/09/2022;14:54;1;20;Blue;Researcher;2042;5,1;0;5,1;17:22:00;117,58;0%;0;4;50;25,0;;
1/09/2022;14:53;1;20;Orange;Researcher;2042;5,1;0;5,1;10:00:00;204,20;0%;0;4;50;25,0;;
2/09/2022;12:23;1;21;Pink;Researcher;2046;5,1;340;25,1;11:24:00;179,47;0%;0;4;120;25,0;;
2/09/2022;12:19;1;21;Unmarked;Researcher;2046;5,1;0;5,1;;;0%;0;4;120;25,0;;
2/09/2022;12:38;1;21;Pink;Researcher;2046;5,1;340;25,1;11:03:00;185,16;0%;0;4;120;25,0;;
2/09/2022;12:32;1;21;Unmarked;Researcher;2046;5,1;0;5,1;;;0%;0;4;120;25,0;;
2/09/2022;12:53;1;21;Pink;Researcher;2046;5,1;0;5,1;11:50:00;172,90;0%;0;4;120;25,0;;
2/09/2022;12:59;1;21;Unmarked;Researcher;2046;5,1;340;25,1;;;0%;0;4;120;25,0;;
2/09/2022;13:01;1;21;Green;Researcher;2046;5,1;40;34,9;7:00:00;292,29;0%;0;4;120;26,0;;
2/09/2022;13:11;1;21;Pink;Researcher;2046;5,1;0;5,1;10:37:00;192,72;0%;0;4;120;26,0;;
2/09/2022;13:22;1;21;Green;Researcher;2046;5,1;70;64,9;10:06:00;202,57;0%;0;4;120;26,0;;
2/09/2022;13:33;1;21;Red;Researcher;2046;5,1;0;5,1;10:01:00;204,26;0%;0;4;120;26,0;;
2/09/2022;13:40;1;21;Green;Researcher;2046;5,1;70;64,9;9:47:00;209,13;0%;0;4;120;26,0;;
2/09/2022;13:46;1;21;Unmarked;Researcher;2046;5,1;320;45,1;;;0%;0;4;120;26,0;;
2/09/2022;13:57;1;21;Red;Researcher;2046;5,1;0;5,1;8:46:00;233,38;0%;0;4;120;26,0;;
2/09/2022;14:10;1;21;Green;Researcher;2046;5,1;60;54,9;;;0%;0;4;120;27,0;;
7/09/2022;8:45;6;1;Zender;Researcher;730;321,5;280;41,5;10:10:00;71,80;10%;0;2;180;16,0;;
9/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;3:00:00;100,33;;0;3;0;24,0;;
9/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;3:00:00;100,33;;0;3;0;24,0;;
9/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;2:40:00;112,87;;0;3;0;24,0;;
10/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;3:00:00;100,33;;0;3;0;24,0;;
10/07/2022;;10;2;Green;Volunteer;301;64,9;40;24,9;2:30:00;120,40;;0;3;0;24,0;;
13/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;3:00:00;100,33;;0;1;270;30,0;;
13/07/2022;;10;2;Green;Volunteer;301;64,9;50;14,9;3:00:00;100,33;;0;1;270;30,0;;
20/07/2022;;10;1;Blue;Volunteer;332;83,9;;;2:28:00;134,59;;0;3;270;32,0;;
;;10;3;Unmarked;Volunteer;203;65;20;45;;;;;;;32,0;;
;;10;4;Unmarked;Volunteer;274;27;20;7;;;;;;;;;
;;10;5;Unmarked;Volunteer;196;12;20;8;;;;;;;;;
;;10;6;Unmarked;Volunteer;184;4;20;16;;;;;;;;;
;;10;7;Unmarked;Volunteer;141;13;20;7;;;;;;;;;
;;10;8;Unmarked;Volunteer;54;338;350;12;;;;;;;;;
7/09/2022;18:00;11;1;White;Volunteer;746;135,5;135;0,5;5:30:00;135,64;;0;3;210;23,0;;
6/09/2022;;12;1;Blue;Volunteer;134;238;240;2;1:10:00;114,86;0%;0;3;270;27,0;;
25/08/2022;17:57;13;1;White;Volunteer;652;169;155;14;5:00:00;130,40;;0;2;270;27,0;;
27/08/2022;19:30;13;2;Red;Volunteer;415;307,1;310;2,9;3:00:00;138,33;;0;3;0;21,0;;
30/08/2022;21:02;13;3;Blue;Volunteer;401;65,7;80;14,3;3:00:00;133,67;;0;2,5;20;19,0;;
29/07/2022;14:00;14;1;DVR Rood/Geel/Rood;Volunteer;157;173;112;61;3:00:00;52,33;;0;2;0;27,0;;
29/07/2022;14:00;14;1;DVR;Volunteer;157;173;161;12;4:00:00;39,25;;0;2;0;27,0;;
30/07/2022;14:00;14;2;DVR Geel;Volunteer;270;10;25;15;2:12:00;122,73;;0;2;300;28,0;;
29/07/2022;14:00;14;3;DVR Rood/Wit;Volunteer;232;268;260;8;2:24:00;96,67;;0;2;0;27,0;;
30/07/2022;14:00;14;3;DVR Geel/Wit;Volunteer;232;268;260;8;2:09:00;107,91;;0;2;300;28,0;;
29/07/2022;14:00;14;4;DVR Wit/Rood;Volunteer;413;219,9;181;38,9;2:00:00;206,50;;0;2;0;27,0;;
29/07/2022;14:00;14;4;DVR Wit/Rood;Volunteer;413;219,9;181;38,9;2:09:00;192,09;;0;2;0;27,0;;
14/08/2022;16:40;15;1;Green;Volunteer;313;241,1;260;18,9;2:48:00;111,79;;0;2;100;32,0;;
8/09/2022;13:59;16;7;Blue;Researcher;70;277;20;103;1:49:00;38,53;90%;0;4,5;220;19,1;;
8/09/2022;14:01;16;7;Unmarked;Researcher;70;277;20;103;;;90%;0;4,5;220;19,1;;
8/09/2022;14:04;16;7;Blue;Researcher;70;277;340;63;1:07:00;62,69;90%;0;4,5;220;19,1;;
8/09/2022;14:07;16;7;Blue;Researcher;70;277;320;43;2:06:00;33,33;90%;0;4,5;220;19,1;;
8/09/2022;14:09;16;7;Blue;Researcher;70;277;;;0:55:00;76,36;90%;0;4,5;220;19,1;;
8/09/2022;14:11;16;7;Blue;Researcher;70;277;300;23;1:05:00;64,62;90%;0;4,5;220;19,1;;
8/09/2022;14:15;16;7;Blue;Researcher;70;277;300;23;1:08:00;61,76;90%;0;4,5;220;19,1;;
1/09/2022;12:30;16;8;Yellow;Researcher;92;217;180;37;2:11:00;42,14;0%;0;4;50;23,0;;
1/09/2022;12:35;16;8;Yellow;Researcher;92;217;180;37;2:10:00;42,46;0%;0;4;50;23,0;;
1/09/2022;12:43;16;8;Yellow;Researcher;92;217;180;37;4:03:00;22,72;0%;0;4;50;23,0;ervoor weggejaagd door EH;
2/09/2022;10:48;16;10;Yellow;Researcher;181;223;200;23;1:49:00;99,63;0%;0;4;120;25,0;;
2/09/2022;10:59;16;10;Yellow;Researcher;181;223;200;23;1:57:00;92,82;0%;0;4;120;25,0;;
2/09/2022;11:06;16;10;Yellow;Researcher;181;223;200;23;3:30:00;51,71;0%;0;4;120;25,0;;
6/09/2022;10:24;16;10;Yellow;Researcher;181;223;200;23;4:16:00;42,42;;0;3;200;23,0;;
6/09/2022;10:54;16;10;Yellow;Researcher;181;223;200;23;2:15:00;80,44;;0;3;200;23,0;;
15/09/2022;16:25;16;11;Unmarked;Researcher;84;242;240;2;1:41:00;49,90;100%;0;2;;16,0;;
15/09/2022;16:28;16;11;Unmarked;Researcher;84;242;240;2;1:02:00;81,29;100%;0;2;;16,0;;
15/09/2022;16:30;16;11;Unmarked;Researcher;84;242;240;2;1:36:00;52,50;100%;0;2;;16,0;;
;;16;2;;Researcher;83;24;60;36;;;;;;;;;
28/08/2022;16:00;17;1;White;Volunteer;415;119,4;75;44,4;3:00:00;138,33;;;;;;;
31/08/2022;14:00;17;2;Red;Volunteer;187;130;116;14;1:30:00;124,67;;0;;;;;
1/09/2022;20:27;18;1;A;Volunteer;706;240,8;240;0,8;4:00:00;176,50;0%;0;3;90;22,0;;
1/09/2022;20:36;18;1;A;Volunteer;706;240,8;240;0,8;5:00:00;141,20;0%;0;3;90;22,0;;
7/09/2022;20:30;18;1;Yellow;Volunteer;706;240,8;;;5:10:00;136,65;75%;0;2;270;24,0;;
11/09/2022;15:32;18;1;Green;Volunteer;706;240,8;230;10,8;4:10:00;169,44;0%;0;1,5;300;23,0;;
11/09/2022;15:42;18;1;Green;Volunteer;706;240,8;230;10,8;3:40:00;192,55;0%;0;1,5;300;23,0;;
11/09/2022;15:46;18;1;Green;Volunteer;706;240,8;230;10,8;4:00:00;176,50;0%;0;1,5;300;23,0;;
11/09/2022;15:20;18;1;Yellow;Volunteer;706;240,8;;;6:25:00;110,03;0%;0;1,5;300;23,0;;
11/09/2022;15:25;18;1;Yellow;Volunteer;706;240,8;;;4:30:00;156,89;0%;0;1,5;300;23,0;;
11/09/2022;15:40;18;1;Blue;Volunteer;706;240,8;235;5,8;4:20:00;162,92;0%;0;1,5;300;23,0;;
11/09/2022;15:24;18;1;FluoPink;Volunteer;706;240,8;;;4:50:00;146,07;0%;0;1,5;300;23,0;;
;;18;2;Orange;Volunteer;331;251,6;;;2:30:00;132,40;;;;;;;
;;18;2;Orange;Volunteer;331;251,6;;;3:00:00;110,33;;;;;;;
;;18;2;Orange;Volunteer;331;251,6;270;18,4;;;;;;;;;
;;18;2;Orange;Volunteer;331;251,6;240;11,6;;;;;;;;;
;;18;3;Red;Volunteer;230;244;260;16;;;;;;;;;
;;18;1;Unmarked;Volunteer;706;240,8;245;4,2;;;;;;;;;
;;18;1;Unmarked;Volunteer;706;240,8;240;0,8;;;;;;;;;
;;18;4;Yellow;Volunteer;110;102;110;8;1:25:00;77,65;;;;;;;Hoornaar kwam aangevlogen na opgieten lokstof
19/09/2022;;19;13;Blue;Researcher;340;83,8;140;56,2;3:25:00;99,51;80%;0;1;45;17,2;;
19/09/2022;;19;13;Blue;Researcher;340;83,8;140;56,2;2:00:00;170,00;80%;0;1;45;17,2;;
19/09/2022;;19;13;Blue;Researcher;340;83,8;140;56,2;3:15:00;104,62;80%;0;1;45;17,2;;
20/09/2022;17:18;22;11;Yellow;Researcher;687;63;60;3;20:00:00;34,35;80%;0;1;45;17,2;;
20/09/2022;17:35;16;11;Blue;Researcher;84;242;240;2;1:30:00;56,00;80%;0;1;45;17,2;;
20/09/2022;17:38;22;11;Yellow;Researcher;687;63;60;3;11:30:00;59,74;80%;0;1;45;17,2;;
