Date	Time	NestID	BaitID	ColorInd	Observer	Distance	DirectionToNest	Flightdirection	FlightError	Flighttime	Flighttime_min	Cloudcoverage	Rain	Windspeed	Winddirection	Temperature				
31/08/2022	11:35	4	1	Blue	Researcher	272	22	20	2	0:02:10	2.167	80%	0	2.3	40	20.0				
31/08/2022	13:31	3	2	Green	Researcher	150	200	200	0	0:01:38	1.633	0%	0	2.3	80	23.0				
31/08/2022	14:47	3	2	Pink	Researcher	150	200	180	20	0:01:31	1.517	0%	0	2.3	80	24.0				
1/09/2022	11:59	1	20	Orange	Researcher	2042	5.1	0	5.1	0:09:43	9.717	0%	0	4	50	23.0				
1/09/2022	14:35	1	20	Blue	Researcher	2042	5.1	0	5.1	0:15:46	15.767	0%	0	4	50	24.0				
2/09/2022	13:11	1	21	Pink	Researcher	2046	5.1	0	5.1	0:10:37	10.617	0%	0	4	120	26.0				
2/09/2022	13:57	1	21	Red	Researcher	2046	5.1	0	5.1	0:08:46	8.767	0%	0	4	120	26.0				
10/07/2022		10	2	Green	Volunteer	301	64.9	40	24.9	0:02:30	2.500		0	3	0	24.0				
20/07/2022		10	1	Blue	Volunteer	332	83.9			0:02:28	2.467		0	3	270	32.0				
7/09/2022	18:00	11	1	White	Volunteer	746	135.5	135	0.5	0:05:30	5.500		0	3	210	23.0				
6/09/2022		12	1	Blue	Volunteer	134	238	240	2	0:01:10	1.167	0%	0	3	270	27.0				
25/08/2022	17:57	13	1	White	Volunteer	652	169	155	14	0:05:00	5.000		0	2	270	27.0				
27/08/2022	19:30	13	2	Red	Volunteer	415	307.1	310	2.9	0:03:00	3.000		0	3	0	21.0				
30/08/2022	21:02	13	3	Blue	Volunteer	401	65.7	80	14.3	0:03:00	3.000		0	2.5	20	19.0				
29/07/2022	14:00	14	1	Red/Yellow/Red	Volunteer	157	173	112	61	0:03:00	3.000		0	2	0	27.0				
29/07/2022	14:00	14	1	Blue	Volunteer	157	173	161	12	0:04:00	4.000		0	2	0	27.0				
30/07/2022	14:00	14	2	Yellow	Volunteer	270	10	25	15	0:02:12	2.200		0	2	300	28.0				
29/07/2022	14:00	14	3	Red/White	Volunteer	232	268	260	8	0:02:24	2.400		0	2	0	27.0				
30/07/2022	14:00	14	3	Yellow/White	Volunteer	232	268	260	8	0:02:09	2.150		0	2	300	28.0				
29/07/2022	14:00	14	4	White/Red	Volunteer	413	219.9	181	38.9	0:02:00	2.000		0	2	0	27.0				
14/08/2022	16:40	15	1	White/Red	Volunteer	313	241.1	260	18.9	0:02:48	2.800		0	2	100	32.0				
8/09/2022	14:09	16	7	Blue	Researcher	70	277			0:00:55	0.917	90%	0	4.5	220	19.1				
1/09/2022	12:35	16	8	Yellow	Researcher	92	217	180	37	0:02:10	2.167	0%	0	4	50	23.0				
2/09/2022	10:48	16	10	Yellow	Researcher	181	223	200	23	0:01:49	1.817	0%	0	4	120	25.0				
